OBTS;OBTS, sec;Slew;Mode;Submode;ARO;;aRoll_est;aPitch_est;aYaw_est;;rRoll_meas;rPitch_meas;rYaw_meas;;aSunEl;aSunAz;SemiMajAxis;;flg_Mag;flg_Sun;flg_Star;flg_MagEst;flg_SunEst;flg_StarEst;flg_GyroEst;flg_PropStep;flg_Ctrl;flg_SS-CPM;;op_MRW1_tm;op_MRW2_tm;op_MRW3_tm;op_MRW4_tm;op_STR1_tm;op_STR2_tm;op_MRW1_meas;op_MRW2_meas;op_MRW3_meas;op_MRW4_meas;op_STR1_meas;op_STR2_meas;op_STR_av;op_Gyro;;sta_SS_tm;sta_Gyro_tm;sta_MTM_tm;sta_SRW1_tm;sta_SS_meas;sta_Gyro_meas;sta_MTM_meas;sta_SRW1_meas;sta_Gyro-MTM;sta_SS-Gyro;sta_BodyHdot;sta_TotalHdot;sta_Rate;sta_SunHold;sta_Gyro_alarm0;sta_Gyro_alarm1;sta_Gyro_alarm2;sta_SRW2_tm;sta_SRW2_meas;sta_SRW3_tm;sta_SRW3_meas;sta_SRW4_tm;sta_SRW4_meas;sta_Mdump;sta_SunVec_meas;sta_MagVec_meas;sta_2SunVec;;cfg_ADCS;cfg_OBC;cfg_AIM;cfg_AIMB;cfg_Gyro;cfg_SRW1;cfg_SRW2;cfg_SRW3;cfg_SRW4;cfg_MRW1;cfg_MRW2;cfg_MRW3;cfg_MRW4;cfg_STR1;cfg_STR2;cfg_CAN;;Mode_inactive;Submode_inactive;;StatusFlags;GuiStatus;
136, 23:29:41;11834981;0;3;31;1060;;-0,001001;-0,000284;-0,000959;;0,167623;-0,093162;-0,120944;;-68,976845;31,835413;6856,346680;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;0;1;1;;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;;0;0;;10;8;
136, 23:29:51;11834991;0;3;31;1060;;0,000020;0,000160;-0,000796;;0,188103;-0,118764;-0,131149;;-68,976845;31,835413;6856,346680;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;0;1;1;;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;;0;0;;10;8;
136, 23:30:01;11835001;0;3;31;1060;;-0,000174;-0,000250;-0,000336;;0,167623;-0,093324;-0,136252;;-68,976845;31,835413;6856,346680;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;0;1;1;;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;;0;0;;10;8;
136, 23:30:11;11835011;0;3;31;1060;;-0,001138;-0,000134;0,000130;;0,193223;-0,098412;-0,141378;;-68,976845;31,835413;6856,346680;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;0;1;1;;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;;0;0;;10;8;
136, 23:30:21;11835021;0;3;31;1060;;0,000530;-0,000297;0,001145;;0,193223;-0,093324;-0,126071;;-68,976845;31,835413;6856,346680;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;0;1;1;;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;;0;0;;10;8;
136, 23:30:31;11835031;0;3;31;1060;;0,000026;0,000340;0,001270;;0,177863;-0,108588;-0,126071;;-68,976845;31,835413;6856,346680;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;0;1;1;;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;;0;0;;10;8;
136, 23:30:41;11835041;0;3;31;1060;;-0,000655;0,000539;0,000418;;0,177863;-0,108588;-0,100558;;-68,976845;31,835413;6856,346680;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;0;1;1;;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;;0;0;;10;8;
136, 23:30:51;11835051;0;3;31;1060;;-0,001227;0,001152;-0,000227;;0,188248;-0,103500;-0,136276;;-68,976845;31,835413;6856,346680;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;0;1;1;;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;;0;0;;10;8;
136, 23:31:01;11835061;0;3;31;1060;;-0,000464;-0,000364;-0,000103;;0,188248;-0,113839;-0,105661;;-68,976845;31,835413;6856,346680;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;0;1;1;;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;;0;0;;10;8;
136, 23:31:11;11835071;0;3;31;1060;;0,000241;-0,000633;-0,000363;;0,193368;-0,118927;-0,126071;;-68,976845;31,835413;6856,346680;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;0;1;1;;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;;0;0;;10;8;
136, 23:31:21;11835081;0;3;31;1060;;-0,000527;-0,000731;-0,000072;;0,183128;-0,098575;-0,136300;;-68,976845;31,835413;6856,346680;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;0;1;1;;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;;0;0;;10;8;
136, 23:31:31;11835091;0;3;31;1060;;0,000596;0,000772;0,001210;;0,167768;-0,098575;-0,141402;;-68,976845;31,835413;6856,346680;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;0;1;1;;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;;0;0;;10;8;
136, 23:31:41;11835101;0;3;31;1060;;-0,000667;-0,000162;0,000042;;0,172888;-0,118927;-0,141402;;-68,976845;31,835413;6856,346680;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;0;1;1;;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;;0;0;;10;8;
136, 23:31:51;11835111;0;3;31;1060;;-0,000626;-0,000174;0,000278;;0,178008;-0,108751;-0,146505;;-68,976845;31,835413;6856,346680;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;0;1;1;;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;;0;0;;10;8;
